match_attendance,match_home_team_Brisbane Lions,match_home_team_Carlton,match_home_team_Collingwood,match_home_team_Essendon,match_home_team_Geelong,match_home_team_Gold Coast,match_home_team_Hawthorn,match_home_team_Port Adelaide,match_home_team_Richmond,match_home_team_Sydney,match_home_team_West Coast,Capacity,n_games,playoff,start_time_Other Night,start_time_Sunday Afternoon,start_time_Sunday Night,season_Winter,match_weather_type_Overcast,match_weather_type_Storm,match_weather_type_Sunny,match_weather_type_Windy
89.626,0,0,0,1,0,0,0,0,0,0,0,100.024,2,0,0,0,0,1,0,0,1,0
78.579,0,0,0,0,0,0,1,0,0,0,0,100.024,1,0,0,0,0,1,0,0,1,0
36.298,0,0,0,0,0,0,0,0,0,0,1,43.5,1,0,1,0,0,1,0,0,0,0
28.081,0,0,0,0,0,0,0,0,0,1,0,48,1,0,1,0,0,1,0,0,0,0
37.438,0,0,0,0,0,0,0,0,1,0,0,100.024,3,0,1,0,0,1,0,0,1,0
33.854,0,0,0,0,0,0,0,0,0,0,0,45,3,0,1,0,0,1,0,0,1,0
33.71,0,0,0,1,0,0,0,0,0,0,0,56.347,2,0,0,1,0,1,0,0,1,0
53.776,0,0,1,0,0,0,0,0,0,0,0,100.024,2,0,0,0,1,1,1,0,0,0
21.819,0,0,0,0,0,0,0,1,0,0,0,45,1,0,1,0,0,1,0,0,1,0
23.669,0,0,0,0,1,0,0,0,0,0,0,36,4,0,0,0,0,1,1,0,0,0
34.09,0,0,0,0,0,0,0,0,1,0,0,100.024,4,0,1,0,0,1,1,0,0,0
25.501,0,0,0,0,0,1,0,0,0,0,0,41.974,4,0,1,0,0,1,0,0,0,0
33.631,0,0,0,1,0,0,0,0,0,0,0,56.347,2,0,0,1,0,1,1,0,0,0
81.691,0,0,0,0,1,0,0,0,0,0,0,100.024,1,0,1,0,0,1,0,0,0,0
36.056,0,0,0,0,0,0,0,0,0,0,0,45,4,0,0,0,0,1,1,0,0,0
24.921,1,0,0,0,0,0,0,0,0,0,0,41.974,4,0,1,0,0,1,0,0,0,0
20.719,0,0,0,0,0,0,0,0,0,1,0,48,4,0,1,0,0,1,0,0,0,0
42.453,0,0,0,0,0,0,1,0,0,0,0,100.024,3,0,0,1,0,1,1,0,0,0
